CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,address_full
30075445,MORRIS PARK BAKE SHOP,BRONX,1007,MORRIS PARK AVE,10462.0,7188924968,Bakery,6/11/2019,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,6,A,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection,1007 MORRIS PARK AVE 10462.0
30075445,MORRIS PARK BAKE SHOP,BRONX,1007,MORRIS PARK AVE,10462.0,7188924968,Bakery,6/11/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection,1007 MORRIS PARK AVE 10462.0
30075445,MORRIS PARK BAKE SHOP,BRONX,1007,MORRIS PARK AVE,10462.0,7188924968,Bakery,6/11/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection,1007 MORRIS PARK AVE 10462.0
30191841,DJ REYNOLDS PUB AND RESTAURANT,MANHATTAN,351,WEST   57 STREET,10019.0,2122452912,Irish,6/6/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A,6/6/2019,6/21/2019,Cycle Inspection / Initial Inspection,351 WEST   57 STREET 10019.0
30191841,DJ REYNOLDS PUB AND RESTAURANT,MANHATTAN,351,WEST   57 STREET,10019.0,2122452912,Irish,6/6/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,6/6/2019,6/21/2019,Cycle Inspection / Initial Inspection,351 WEST   57 STREET 10019.0
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005.0,3474279132,Sandwiches/Salads/Mixed Buffet,6/7/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,20,Z,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection,60 WALL STREET 10005.0
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005.0,3474279132,Sandwiches/Salads/Mixed Buffet,6/7/2019,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,20,Z,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection,60 WALL STREET 10005.0
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005.0,3474279132,Sandwiches/Salads/Mixed Buffet,6/7/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,20,Z,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection,60 WALL STREET 10005.0
40362869,SHASHEMENE INT'L RESTAURANT,BROOKLYN,195,EAST   56 STREET,11203.0,3474300871,Caribbean,6/14/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,13,A,6/14/2019,6/21/2019,Cycle Inspection / Initial Inspection,195 EAST   56 STREET 11203.0
40362869,SHASHEMENE INT'L RESTAURANT,BROOKLYN,195,EAST   56 STREET,11203.0,3474300871,Caribbean,6/14/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,6/14/2019,6/21/2019,Cycle Inspection / Initial Inspection,195 EAST   56 STREET 11203.0
