Address,cities,lat,long,address_full
1007 MORRIS PARK AVE 10462.0,"1007 Morris Park Ave, The Bronx, NY 10462, USA",40.8484353,-73.8560344,1007 MORRIS PARK AVE 10462.0
351 WEST   57 STREET 10019.0,"351 W 57th St, New York, NY 10019, USA",40.767777,-73.98490799999999,351 WEST   57 STREET 10019.0
60 WALL STREET 10005.0,Error,0.0,0.0,60 WALL STREET 10005.0
195 EAST   56 STREET 11203.0,"195 E 56th St, Brooklyn, NY 11203, USA",40.6522187,-73.9244528,195 EAST   56 STREET 11203.0
73 NEW DORP PLAZA 10306.0,"73 New Dorp Plaza, Staten Island, NY 10306, USA",40.5734796,-74.11792919999999,73 NEW DORP PLAZA 10306.0
261 DRIGGS AVENUE 11222.0,"261 Driggs Ave, Brooklyn, NY 11222, USA",40.7224876,-73.94839189999999,261 DRIGGS AVENUE 11222.0
2222 HAVILAND AVENUE 10462.0,"2222 Haviland Ave, The Bronx, NY 10462, USA",40.8304811,-73.84971759999999,2222 HAVILAND AVENUE 10462.0
1 BOUCK COURT 11223.0,"1 Bouck Ct, Brooklyn, NY 11223, USA",40.5890055,-73.9735905,1 BOUCK COURT 11223.0
93 BAXTER STREET 10013.0,"93 Baxter St, New York, NY 10013, USA",40.7169517,-73.9995675,93 BAXTER STREET 10013.0
3 EAST   52 STREET 10022.0,"3 E 52nd St, New York, NY 10022, USA",40.75965900000001,-73.975597,3 EAST   52 STREET 10022.0
113 WEST   13 STREET 10011.0,"113 W 13th St, New York, NY 10011, USA",40.7371344,-73.9979214,113 WEST   13 STREET 10011.0
326 WEST   46 STREET 10036.0,"326 W 46th St, New York, NY 10036, USA",40.7601463,-73.9890826,326 WEST   46 STREET 10036.0
319321 323 W. 46TH ST. nan,"323 W 46th St, New York, NY 10036, USA",40.760337,-73.988948,319321 323 W. 46TH ST. nan
168 WEST    4 STREET 10014.0,"168 West 4th Street, New York, NY 10014, USA",40.7319679,-74.0016583,168 WEST    4 STREET 10014.0
22020 HILLSIDE AVENUE 11427.0,"22020 Hillside Avenue, Queens Village, NY 11427, USA",40.730399,-73.7430164,22020 HILLSIDE AVENUE 11427.0
135 FLAGG PLACE 10304.0,"135 Flagg Pl, Staten Island, NY 10304, USA",40.5884133,-74.1050011,135 FLAGG PLACE 10304.0
1191 CASTLE HILL AVENUE 10462.0,"1191 Castle Hill Ave, The Bronx, NY 10462, USA",40.8316981,-73.8513114,1191 CASTLE HILL AVENUE 10462.0
7302 COOPER AVENUE 11385.0,"73-02 Cooper Ave, Flushing, NY 11385, USA",40.703885,-73.876876,7302 COOPER AVENUE 11385.0
521 EAST   68 STREET 10065.0,"521 E 68th St, New York, NY 10065, USA",40.7641379,-73.9542568,521 EAST   68 STREET 10065.0
943 FLATBUSH AVENUE 11226.0,"943 Flatbush Ave, Brooklyn, NY 11226, USA",40.64870500000001,-73.958168,943 FLATBUSH AVENUE 11226.0
0 GRAND CENTRAL TERMINAL 10017.0,"Grand Central Terminal, 89 E 42nd St, New York, NY 10017, USA",40.7527262,-73.9772294,0 GRAND CENTRAL TERMINAL 10017.0
2001 HYLAN BOULEVARD 10306.0,"2001 Hylan Blvd, Staten Island, NY 10306, USA",40.5811011,-74.0989902,2001 HYLAN BOULEVARD 10306.0
21 EAST   47 STREET 10017.0,"21 E 47th St, New York, NY 10017, USA",40.7562167,-73.9772069,21 EAST   47 STREET 10017.0
7504 13 AVENUE 11228.0,"7504 13th Ave, Brooklyn, NY 11228, USA",40.6202394,-74.0078288,7504 13 AVENUE 11228.0
1366 PENNSYLVANIA AVENUE 11239.0,"1366 Pennsylvania Ave, Brooklyn, NY 11239, USA",40.6470917,-73.8825904,1366 PENNSYLVANIA AVENUE 11239.0
1 WATER STREET 11201.0,Error,0.0,0.0,1 WATER STREET 11201.0
10615 71 AVENUE 11375.0,"Forest Hills, NY 11375, USA",40.7245678,-73.8457658,10615 71 AVENUE 11375.0
4272 KATONAH AVENUE 10470.0,"4272 Katonah Ave, The Bronx, NY 10470, USA",40.8977778,-73.86703179999999,4272 KATONAH AVENUE 10470.0
22210 NORTHERN BOULEVARD 11361.0,"222-10 Northern Blvd, Flushing, NY 11361, USA",40.7615707,-73.7593231,22210 NORTHERN BOULEVARD 11361.0
326 SPRING STREET 10013.0,"326 Spring St, New York, NY 10013, USA",40.7258444,-74.00949229999999,326 SPRING STREET 10013.0
